id,certification,nudity,violence,profanity,drugs,intense_scene,game_id
180,Argentina:M  Australia:MA15+  Brazil:16  France:18  Germany:16  Japan:D (CERO)  New Zealand:R13  Singapore:ADV16  South Korea:18  United Kingdom:18 (PEGI)  United States:M (ESRB Rating),"The main protagonist partake in various ""bathroom activities"" - peeing, pooping, showering and bathing. However, due to careful camera angles, the most that is ever shown is his buttocks, visible briefly during showering, and also displayed in a handful of separate cut scenes and narrative moments. The protagonist also walks into a room on which the blurred shape of a showering woman may be seen through a thick glass shower wall. During one cutscene, a woman briefly grabs her own (clothed) breasts. This is done in a non-sexual context.","There is little to no graphic violence in the game. One of the few instances of any disturbing violence is during a cutscene, where a ghost grabs a character who is trapped under a truck (he is in pain) and begins to attack him until his friend shoots him in the head (no blood) to put him out of misery. The ghost then grabs attacks the friend, levitating him into the air. The friend tries to kill himself by stabbing himself repeatedly. It is unclear if he survived or not, as his death not shown, but it is strongly implied. This is the most violent part of the game.","Strong language and mild language throughout. The main character occasionally uses strong language (""f*ck"") when he falls over or loses balance around the environment. Depending on how many times the player causes this to occur contributes to the quantity of strong language used in the game as a whole. Sam shows the finger in a cutscene.","Some of the packages that the player has been asked to deliver contains ""drugs"". However, they are mostly comprised of neurotransmitters and other chemicals which naturally occur in humans, so they have little to no illicit nature. Some scenes depict key characters smoking.","The creatures may scare some players. Some jump scares. If this game was made into a film, it would be rated R for scenes of strong, disturbing violence and language The player can construct weapons using their own blood and bodily waste. An enemy type commonly seen around the game can be especially unnerving to younger players. Violence can be turned off",d0d7b21f-7aea-4d50-ad35-7f08e2b8c251
181,Australia:M  Brazil:14  France:16  Germany:16 (USK)  Japan:C (CERO)  Mexico:B15 (SMECCV)  New Zealand:M  Singapore:G  South Korea:15  Spain:16 (PEGI)  Taiwan:R-15  United Kingdom:16 (PEGI)  United States:T (ESRB),"Tifa, along with a few other female characters wear form fitting outfits that shows off their figure significantly. Some female characters wear revealing outfits (e.g., deep cleavage); one scene depicts a man ogling women's bodies while making suggestive hand gestures and hip movements. A mad scientist implies that they have one of his test subjects raped by soldiers to reproduce offspring. Cloud goes into Wall Market which has a lot of suggestive themes. A pimp tells Cloud he wants to fix his ""loud mouth."" Cloud is pretending to be a girl. A group of people threatens a man they will cut off his ""stuff."" in the Honeybee Inn scene, a lot of girls are in revealing clothing If you play this game on pc, the sexual options are limitless due to mods.","This is an action RPG game which uses attack concepts similar Final Fantasy 13 and 15 where the characters run around enemies, attacking them with magic, swords, or in one character's case a machine gun. It should be noted that despite all the action, there is no blood in the game. Players explore the city of Midgar, perform various quests, and battle monsters and soldiers in frenetic melee combat. Characters use swords, staffs, guns, and magic spells to battle fantastical monsters and human soldiers; combat is highlighted by cries of pain, impact sounds, and explosions. Cutscenes also depict instances of violence: characters impaled by swords (off-camera); a man shot repeatedly while on a stairwell. Some characters get bruised and slightly bloodied during fights.","Uses of profanity in the main game: Bastard: 32. Prick: 2. Piss: 5 Bitch: 17. Ass (and variations): 70 or more. Hell (including non-offensive context. For example an enemy is named The Hell House): 147. Damn (and variations): 78. Dammit: 30. Crap: 1. Shit: 105. The words ""shit,"" ""asshole,"" and ""prick"" appear in the dialogue. Just like the original FF7, this one has a fair amount of cursing. Uses of profanity in the Episode INTERmission DLC: Bastard: 1. Bitch: 2. Ass (and variations): 7. Hell: 6. Damn: 6. Dammit: 2. Crap: 2. Shit: 4. One use of Damn in the post credits scene exclusive to the PS5 version, Final Fantasy VII Remake: Intergrade.","The game contains some alcohol content: ordering ""something hard and bitter"" and watching a character drink; searching for a person at the ""Drunkards' Den""; watching characters drunk and slurring their speech. One cut scene depicts a character smoking a cigar. There is quite a lot of drinking and smoking in this game.",This is an action role-playing game in which players follow the story of a mercenary (Cloud Strife) on a quest to save the planet from evil. Lots of innocent people are killed.,cc9db3b4-a973-401d-8a52-e9f92a95229c
193,Australia:M  France:16  Germany:12 (USK)  Singapore:ADV16  United Kingdom:16 (PEGI)  United States:T,None,"Mild violence is throughout the game as it revolves around battling animal-esque robots with spears, bows, and slings.",Few uses of the word s#!t. These can't be avoided as they are used in cut scenes.,Mild,Moderate,85c1ef2d-7953-413a-bb8b-b5c31880a723
182,Australia:MA15+  Brazil:16  Finland:K-18  Germany:16  Japan:Z  New Zealand:R16  Singapore:M18  South Africa:16  South Korea:18  United Kingdom:18  United States:M,None,"There is a section in the game where the player gets to see buildings on fire Played from a third-person perspective, the player must explore and navigate treacherous environments and solve complex puzzles to find the clues on the mysterious relic, in order to progress the story. She can use a variety of weapons such as a bow, dagger and assault rifles to fight enemies. These weapons can be upgraded over the course of the game.This Game is the least violent in the series. The game contains some mild blood effects and depictions of violence. Small blood spurts can be seen when an enemy is hit. Some scenes show the protagonist falling from tall heights. You don't see her hit the ground though, it fades away too fast.Great game for 12+. The game's depictions of violence, however, such as killing or causing other injuries to enemies is not sadistic, cruel and/or abhorrent.","Swears aren't as frequent like in the first game, but it still has strong language scattered throughout. Lara is about to call someone a c**t, but is cut off mid sentence.",None,"'Rise of the Tomb Raider' is a third-person action adventure game. The female protagonist Lara Croft is searching for a mysterious relic that was the obsession of her deceased father, and encounters a ruthless organization also looking for the relic.",c7f0e843-feee-4941-8a88-ceafba9862df
183,"Australia:R18+ (ACB)  Austria:18 (PEGI)  Belgium:18 (PEGI)  Brazil:16 (DJCTQ)  France:18 (PEGI)  Germany:18 (USK)  Japan:Z (CERO, Z version)  Japan:D (CERO, edited version)  Mexico:C (SMECCV)  New Zealand:R16 (OFLC)  Russia:18+ (RARS)  Singapore:M18  South Korea:18 (GRAC)  Spain:18 (PEGI)  United Kingdom:18  United States:M (ESRB)","The player can go inside the back of a building where images of scantily clad women in bikinis, and/or other states of undress are hanging on the wall. This is the main form of nudity in this game.","Zombies are killed by shooting them in the head, with some small blood You can shoot zombies with a variety of weapons. When a zombie attacks the player an animation plays of them biting the their character. This game is MUCH more violent than the original, but also a lot scarier. Much like ""Resident Evil 7: Biohazard"", the violence is very graphic and brutal, and the game has a dark and unpleasant atmosphere that makes it even scarier, relying not on the violence and gore, but on psychological horror, paranoia and a few jumpscares to keep the player enthralled and frightened at the same time. Also, the game has extremely realistic and detailed graphics, which enhance the horror. A man accidentally hits a woman with a truck. Claire and Leon see a zombie attacking a cop. The same truck driver causes a car to crash. Marvin shoots a zombie to save the player character. The violence is brutal, realistic and extremely gory, but the b-movie-esque plot and corny characters lessen the impact.","Unlike the original, this game has your fair share of profanity that you'd expect to see in an M rated game. ""Fuck"" is uttered many times by several characters. Other mild profanities ""Shit"", etc. 1 use of the middle finger",Nothing noteworthy is used in this game.,"Much of the game's location takes place in a dark police station. The zombies lurk in the dark corners and sneak up on the player. Very creepy. There's a character named Mr.X who can't be killed. He chases you after a certain point in the game. He usually gives up if you hide well enough, but too much noise (gunshots mainly) can make it easier for him to track you. William Birkin is a man who mutated. Even worse, he is aware of what he's doing and has little control over it. Right after a cutscene, he can be heard screaming, ""Help me!"" and ""Kill me""! This is very disturbing and sad to hear and will definitely upset and/or scare players. If the game was a movie, it would be Rated R for extended sequences of strong bloody horror violence and gore, disturbing/frightening images, and language. Many monsters you come across are very horrific looking. The Lickers are particularly unsettling. The g-monsters encountered in the sewer section of the game are also very horrific due to there grote",c5619b78-06b3-4b02-a26f-a07d1d87711d
202,Australia:MA15+ (self-applied)  France:16  Singapore:ADV16  United Kingdom:12 (PEGI)  United States:T (ESRB),None,"Cal is able to cut off the legs and arms of stormtroopers, this can be disabled in settings. The violence, while slightly more graphic than in Fallen Order, never exceeds what is normal for Star Wars. Some dismemberment can occur, and the deaths of certain characters are more intense and the impact is felt more. This game is significantly more tense and dark than Fallen Order.","One use of a*s near the beginning of the game A few uses of b*stard. Found in Bode's force echoes after the completion of the game. ""Dammit"" and ""damn"" are both used towards the end of the game.",Mild,The ending may be intense for some.,5c48b26f-ceda-429d-b3d1-d98d00e5da87
185,Argentina:T  Australia:M  Brazil:14  France:16  Germany:12  Japan:D (CERO)  New Zealand:M  Singapore:G  South Korea:18  United Kingdom:16 (PEGI)  United States:T,"A handful of characters make reference to Aloy's ""figure"" and what she's wearing. These are at most implications. Rarely a citizan will have cleavage.","There is frequent action with battles between the player and animal-like robots. Spears, bows, and slings are used. You may break off parts of robots. Some side quests place families in peril and may be accompanied by mild scenes of blood splatters at the scene of a crime or other mysterious behaviour. While fighting enemies, arrows will persist when impaling people and machines, sticking out of their place of contact. Additionally, the spear will impale and stick through its target. Some of the silent kills are visceral even if not bloody. You can shoot animals, machines and humans with arrows. Minor and unrealistic blood which almost looks like a puff of smoke.","The main Character will periodically say the word damn. Other characters periodically use the words damn, ass, hell and b*tch Gameplay items known as Viewpoints always have a recording. These recordings always have the recorder saying apocas*itstorm at the start One partial use of the F-word, uttered in an audio recording like, ""can go fu-"" but is cut off from there when the recording cuts out. No complete uses of the F-word. With the game being around 23 hours the language is very spread out and infrequent.","One character is noted to be drunk, and comments that he is often so. This is not presented in a favourable light.","Some of the stalking and sneaking portions of the game could be stressful for younger players. Battling large robot monsters can be intense as Aloy is chased and responds to incoming damage with cringing and exclamations of pain. This game has absolutely breathtaking graphics and animations with extreme attention to detail that make the visuals and all the environment look completely fantastic and gorgeous. With that said, the game has a particularly intense post-apocalyptic atmosphere that might actually might a few people uneasy, alongside the frenetic cyberpunk violence and action and the themes, which all make for a game with an experience that will get you at the very edge of your seat.",c37a5bd4-0bdd-4b3d-98b4-7fe617dc1123
186,Argentina:13  Australia:M  Germany:12  Mexico:B15  Singapore:G  United Kingdom:12 (PEGI)  United States:T,None,"There is a curse that tortures your enemies, this can look slightly disturbing There are multiple spells that set enemies alight. That usually stumble and pat themselves to extinguish the flames. theres some blood patches on the ground in this game if you go to certain spots in the game the killing curse is a very violent spell in this game when you use it it instantly murders your enemies and its such a cold and brutal spell",some uses of bloody and hell,You can enter tavern like buildings and there are glasses filled with butterbeer (a non alcoholic beer),there is a lot of spiders in this game including acromantulas looking a little like aragog the regular spiders you face in this arent not as scary as the big black acromantula boss enemies but if you have avada kedavra you can make the battle quick and easy because itll kill the spiders instantly,b8e39a1c-8317-40c5-8dce-187ef96305be
187,Argentina:M  Australia:MA15+  France:18  Germany:18  Japan:Z  New Zealand:R18  Singapore:M18  South Korea:18  Taiwan:R-18  United Kingdom:18 (PEGI)  United States:M,"The player can flirt with some characters. Some raiders have cleavage. Some of the posters and catalogs have big cleavages and showing panties (under womans dress). Players can remove armor/clothing, and are left in underwear (cannot undress more than this). There are certain characters found in the Fallout world that the player can ""romance."" What this means is that after flirting with them for a certain amount of time, the player can sleep with them. However no nudity is shown. All that happens is that the player goes to bed like normal, but they wake up next to their partner in bed. When you wake up, the player and their partner are fully clothed. This gives the player the perk ""lovers embrace."" The player can find women throughout the world, who may flirt with the player (absolutely nothing graphic, generally something to the extent of ""hi baby"").","About as violent as its predecessors, though it can get more violent depending on the situation. The most common enemies are monsters which emit a lot of blood. The violence is absolutely not constant. The game is about exploring the world and finishing quests which occasionally involve violence. However, when this happens, it can be very graphic. Some side quest missions are focused on combat. The game includes a social pressure mechanic where the most companions disapprove of needless violence. Others, however, encourage it. As players traverse the open-world environment, they complete various mission objectives and use machine guns, machetes, lasers, and explosives to kill mutants and other human survivors. Battles are frenetic with realistic gunfire, explosions, and large blood-splatter effects; some attacks result in slow-motion dismemberment and decapitations. A handful of scenes depict chunks of flesh as well as severed heads and dismembered corpses. 'Fallout 4' contains graphic","The words ""f**k,"" ""sh*t,"" and ""a*shole"" are heard in dialogue. All bad language can be disabled in settings A lot of swear words used except extremely vulgar ones. Once in a very long while you may just hear an F word. Otherwise, the language is not bad or frequent. Also s**t, crap Other mild expletives such as 'piss', 'damn/dammit', etc are also used throughout the game.","During the course of the game, players can consume a variety of fictional drugs (e.g., Buffout, Jet, Psycho) through the use of a menu; repeated use of these drugs leads to an addiction status and various negative effects for characters. In the silver shroud mission, there is talk of a man selling drugs to children. The player can drink alcohol, and take fictional drugs. All of these things enhance the players abilities for a given amount of time and then wears off, however the player can become addicted to any one of these things. Getting addicted lowers the players stats until they take the drug again or see a doctor. There are many people that will buy/sell drugs. The player can find a city where there are a ton of junkies. Certain enemies take drugs before a fight or talk about taking them. The player does have the option, however, to not take a single drug throughout the entire game.","Not recommended for anyone under the age of 14 years old. The game can be violent but because of the rarity of the violence and the overall lack of other mature content, it can be played by teens (14+) There's an are called the Glowing Sea where there's a very scary atmosphere and also many scary creatures like Radscorpions. Bumping into a shopping cart which's way louder than almost anything else in the game WILL scare almost every player, no matter how old or young they are. I say that this game should either be playable for the age 15 or 16 years old should be recomendable for people 15 or 16 to play. The entire game, just like the rest of the Fallout series, revolves around a post-nuclear future in which America is now an apocalyptic wasteland (the game takes place in Boston and its surrounding areas.) There are certain enemies that are scary.",b291fd6c-4deb-4eec-82f1-614ce496cf30
206,Australia:M  Brazil:12  France:12  Japan:B  Singapore:G  South Korea:12  United Kingdom:12 (PEGI)  United States:T,None,"The player must fight and kill giant Colossi. When they stab the creatures, fountains of black, blood-like mist spray from the wound.",None,None,The game is atmospheric and moody.,30cd194a-c54f-4192-8b12-34dc5de87e75
189,Australia:R18+  France:18  Germany:18  Japan:D (CERO)  New Zealand:R16  Singapore:M18  South Korea:18  United Kingdom:18 (PEGI)  United States:M,"In the beginning you follow Ishmael, who is wearing a hospital gown. Glimpses of his butt are seen through the back of the gown. Quiet is featured in a few suggestive scenes. There are a few ways to trigger a cutscene where Quiet and Snake take a shower together. The camera is in first person and Quiet is still in her bikini, however Quiet is in focus during this cutscene. And the male characters around her cell watch her as she showers. The character Quiet wears nothing but a bikini top, bikini bottom and pantyhose that reveal and accentuate her breasts and buttocks. In one scene, she strips out of her pantyhose and rolls around in the rain - becoming slick and wet. In another scene, if Venom Snake doesn't shower for a long time, Quiet will take a shower with him (albeit clothed in her bikini). Some female characters show cleavage.","A woman violently stomps on a man's testicles, squirting blood everywhere. Definitely one of the most violent games in the series. How violent the combat is in this game depends on how far you are from the enemy. In close quarters combat, there is a big splash of blood (slightly more violent than Tomb Raider (2013).). But when sniping or from a distance, there is no blood (or the spray is so small or far away that you can't see it). There is not much over-the-top violence during actual gameplay; there is a small blood splash when Snake shoots an enemy, and that's pretty much it. Violent cutscenes are few and far between, but they are very gory. However, all cutscenes are skippable. The game rewards you if you choose to go about a mission with nonviolent methods. However it's important to note that killing enemies often makes missions far easier to complete. In the course of the game, if the player kills very many enemies and/or does enough other villainous actions (such as killing anim","""F*ck"" is said twice. One is quite hard to hear. Some minor swear words such as ""hell"", ""ass"", ""damn"", ""b*tch"". Some uses of ""sh**"", but this is rather infrequent.","Venom Snake routinely smokes cigars made from a ""medicinal substance"", wormwood (a real life medicinal plant). The player may use these cigars whenever they please to speed up the course of time during the day or night. On the player's birthday, a humorous scene plays where Snake is given a cigar for his surprise birthday party. But he is never allowed to smoke it. If players have Quiet at this point, she will light a cigar for Snake by shooting it.","Metal Gear has always been philosophical and does not shy away from dark deep themes. The themes in this game is child soldier, war, lack of ""real"" choices in life, America's influence on everything, rape, sex, identity, regret, and leadership. If Metal Gear Solid V The Phantom Pain was a movie it would probably be classified as Rated R for violence, some grisly images, language, some sexual references, and drug content. There is only a blood splash when Snake shoots an enemy. However, if you wound the enemy soldider enough, he will scream and then writhe on the ground in pain. The soldiers' realistic reactions to being shot can be disturbing. The game is played in a way that where a lot of pressure is put on the player to not be caught by enemies. After some missions, players may need to take a break from the game to cool down. The game starts with Snake waking up from a nine year coma, as he discovers the loss of his left arm and several other injuries. His reaction to these revelati",acd39674-564f-483b-9c0f-4def399d75af
190,Australia:M  Brazil:10  France:12 (PEGI)  Germany:12  Italy:VM12 (PEGI)  Japan:B (CERO)  Mexico:B (SMECCV)  New Zealand:M  Russia:12+  Singapore:G  Spain:12 (PEGI)  United Kingdom:12 (PEGI)  United States:E10+,"The game contains some mildly suggestive material: fairies with moderate cleavage and/or exaggerated-size breasts; dialogue such as ""I get to see a young hunk draw a bow again?"" and ""If I have to have something pounce on me, why couldn't it be a lady?"" The main character, Link, can be dressed or undressed at the player's will, but he is always with an underware shorts when undressed. One character berates Link for his immodesty should he happen to not be wearing a shirt and/or pants.","As players explore the open-world environment, they can forage for materials, explore shrines, and engage in melee-style combat against fantastical creatures (e.g., goblins, skeletons, centaurs). Players use swords, axes, clubs, and bows to defeat enemies that generally disappear amid puffs of smoke. One brief sequence depicts a battlefield strewn with the bodies of enemy creatures; in the background, a few bodies appear to be impaled by spears. Contains frequent mild fantasy violence and moderate threat, including hand-to-hand combat and projectile-based weaponry. Impact is generally depicted with large, stylised flashy effects, and are quite unrealistic. Enemies generally blow up in smoke when defeated. Boss enemies are large and intimidating, and may frighten or cause distress to some viewers. Some phantom-like monsters may teleport and attack the player. Link can also be harmed by falling from high places or by being electrocuted during an electrical storm.","1 ""Dammit"", 1 ""damn"" ""G--forsaken"" is said once, which is taking God's name in vain. 6 uses of ""darn"", 2 uses of ""heck"", and 3-4 uses of ""what the..."" in dialogue","During the course of the game, a shop owner tells Link that she only serves ""...drinks that are definitely just for adults...""; players can also encounter a drunken character that occasionally hiccups. A few non-playable characters may be depicted in a state of intoxication, however, the work as a whole does not promote or endorse alcohol misuse.","A robotic enemy known as ""Guardians"" can be found around Hyrule, and their appearances may frighten younger players. The entire game has an emotional storyline and is considerably darker than other games in the series. Ganon's appearance can be very scary for younger kids There are centaur Minotaur like creatures that may be frighting Supernatural themes and instances of fantasy violence and threat may distress or frighten younger viewers.",948a0390-ccd8-4479-a452-c467dfc29a02
194,Argentina:13  Australia:M  Brazil:12  France:16 (PEGI)  Germany:12  Japan:C  Russia:18+  Singapore:G  South Korea:15  Taiwan:R-15  United Kingdom:16 (PEGI)  United States:T,"Some moderate suggestive dialogue beetween characters. While free roaming in New York city, there is a particular billboard that shows a woman that wears a top with very low cleavage and it's portrayed in a sexual way. In the first DLC there is quite frequent sex references, but nothing very explicit.","Enemies cry in pain when struck but there is minimal if any blood visible. The main villain may appear sinister as he is shown killing some civillians though most of the time Spider-Man saves them. Very brief splashes of blood can be seen when people are struck in combat, however they are very easy to miss due to the flashy action. Bloody gashes and cuts can sometimes be seen on an injured character's face. Spider-Man gets beaten up a lot throughout the game. The violence is much stronger than any other Spider-Man game and is much more mature in all ways. This is also made more clear as this game has groundbreaking photorealistic graphics with exceptional levels of visual detail, which significantly enhance the game's violent content, but also make this game really stand out on its own with its technical achievements. Norman Osborne breaks a glass after hearing a news report. The camera then cuts to the floor where blood drips into small puddles A silver sable agent attacks a demon and","Bad language such as hell, damn, shit and son of a bitch. About 2 uses of sh*t Damnit and damn are used both 3 times Prick is used once 2 uses of son of a b*tch About 4 or 5 incompleted uses on son of a b*tch and 2 full uses. In the Heist DLC, there are about 8 uses of d*mn and 3 uses of ass. The word ""sh*t"" appears in the dialogue. Profanity can be heard in dialogue, including words like ""shit"", ""bastard"", ""bitch"", ""ass"", ""damn"", ""hell"", ""prick"", and ""piss"". In the Tombstone stealth level with MJ when a toolbox is knocked over a guy say what dumb&@s doesn't put their s£@t away",One of the various side activities you can do involves stopping a drug cartel. Various mild references to drugs.,"Some of the villains, particularly the main one may appear frightening to younger players. Intense moments like characters being taken as hostages, armed robberies, shootings without visible blood or injuries, themes of crime and various life and death sitautions. Many of the characters (heroes and villains alike) have tragic backstories that might be upsetting for some.",8525047c-d017-4035-b607-85fb86855b71
195,Australia:MA15+ (2016)  Brazil:12  France:18  Germany:16  Japan:D (CERO)  New Zealand:R13  Russia:16+  Singapore:ADV16  South Africa:16 (V)  South Korea:18  Taiwan:R-18  United Kingdom:18 (PEGI)  United States:M,"The protagonist is a female android whose skirt reveals her buttocks and thighs, as well as a top that reveals cleavage. She'll dance away from the camera if it's aimed upskirt for too long, but her design is very sexual nonetheless. The game contains instances of moderate nudity. For example, a naked male android can be encountered during a main story quest. The male android's bare buttocks are visible but there are no details of the genitalia. These depictions of nudity would make the game more appropriate for older teen players. Overall, nudity without details, e.g. no nipples, genitalia or pubic region, are featured in the game.","The protagonists are equipped with swords, spears, clawed gloves and physical attacks such as punches and kicks, as well as a robot that fires laser beams, to battle machines and androids. Combat sequences against machines are highlighted by explosions when they are defeated whereas combat against androids contain details such as blood splatters. Some cinematic cutscenes also depict violence. These depictions of violence would make the game more appropriate for older teen players. Overall, depictions of realistic, but not excessively graphic, violence with depictions of bloodletting are included in the gameplay.",Mild,Mild,"If 'NieR: Automata' was a movie it would be rated R: For Strong violence, partial nudity and disturbing imagery & themes. 'NieR: Automata' is an action roleplaying game that revolves around two androids (part-human, part-robot characters) who are sent on a mission to destroy a threat on Earth and reclaim the planet that is overrun by hostile machines. Green: General - Suitable for all ages. Blue: Age Advisory - Suitable for 16 and above, parental guidance strongly recommended, due to moderate portrayal of some content.",832dac54-b135-498f-ba88-a3926c266e2b
196,Argentina:M  Australia:MA15+ (2014)  Brazil:16  Germany:16  Japan:D (CERO)  Singapore:M18  South Korea:18  United Kingdom:18 (PEGI)  United States:M,"The game contains infrequent and optional depictions of topless males and females, depending on romance options. Occasional rear nudity of both male and female. Like all Bioware games, you can romance companions. This is optional, and usually leads to a scene of implied sexual relations. No sex is actually depicted.","High Impact bloody violence while killing demons. Leaves blood all over players and companions but effects can be disabled. Fighting style is very fantasy like, so not overly realistic. Magic can sometimes be less Gory and violent.","Characters curse from time to time. Fuck, Tit, Shit, Piss and other words.",Mild,"Many scary monsters throughout, depicted in fantasy style. Some intense battles, and the dragons are very intense and scary.",817e1183-c8b4-430f-a338-a05573d1e45c
198,Australia:R18+ (ACB)  Brazil:18 (DJCTQ)  France:18  Germany:18 (USK)  Japan:Z (CERO)  Mexico:C (SMECCV)  New Zealand:R16 (OFLC)  Russia:18+ (RARS)  Singapore:M18  South Korea:18 (GRAC)  United Kingdom:18 (PEGI)  United States:M (ESRB),Most of creatures are naked but nothing explicit,"Extreme violence throughout, including chainsaw kills, glory kills, lots of blood/gore and organs shown. The demons also look very grotesque. Although you do get used to the extreme gory nature of the game once you get into it, the constant executions and gore will be too much for children and squeamish players. It is a lot gorier than the previous game Doom (2016), mostly because the environments are lighter and the gore is more visible. Extremely gruesome brutal violence and literally non-stop bloody action throughout. Overall, ""Doom Eternal"" is by far one of the most brutally violent video games ever created. For the basis, the violence is EXTREMELY graphic, gory and inordinate, the kills are depicted in extremely gruesome and extensive detail, the pace is a lot faster, the atmosphere is rather unpleasant and Kafkaesque, and there are lots and lots of strong carnage throughout.",None,None,Doom Eternal shows very detailed depictions of Hell itself that could potentially be highly disturbing to certain players.,79c09813-e258-4fe7-bf33-73516deec59a
200,Australia:MA15+ (ACB)  Brazil:16 (DJCTQ)  France:18  Japan:D (CERO)  Mexico:C (SMECCV)  New Zealand:R13  Russia:18+ (RARS)  Singapore:M18  South Korea:18 (GRAC)  United Kingdom:18 (PEGI)  United States:M (ESRB),"Two female characters are shown partially naked in a non-sexual context, no genitalia shown. One of the Deluxe edition Devil Breaker is reference to a dildo, although it is not explicitly stated. One character references having sex. A male character is shown partially naked, no genitalia is shown. Some nudity. A female demon is shown nude, her breasts are visible.","Characters are stabbed and shot multiple times, in cutscenes and in game. Blood is frequently shown. Some demons can be shown consuming blood. The most bloody & gory Devil May Cry game","Repeated uses of and variations of ""hell,"" ""damn,"" ""ass,"" ""shit,"" ""fuck"" and ""bitch"" respectively..",A few characters are seen smoking.,Some demons can be particularly grotesque and scary. The remains of humans are seen throughout the city as husks. Brushing against their remains will cause them to crumble into dust.,69c6a93b-33aa-410a-9f0d-c804ce1a3556
201,Australia:R18+ (ACB)  Brazil:18 (DJCTQ)  France:18  Germany:18 (USK)  Japan:Z (CERO)  New Zealand:R16 (OFLC)  Russia:18+ (RARS)  Singapore:M18  South Korea:18  United Kingdom:18 (PEGI)  United States:M (ESRB),"It is implied once that Doomguy was naked Some monsters you fight have their buttocks exposed, but nothing severe as they are demons/monsters.","Players use pistols, shotguns, rocket launchers, and chainsaws to kill mutant enemies and demonic creatures. Large blood-splatter effects occur frequently as enemies get decapitated and/or dismembered during combat; a handful of sequences depict mutilated corpses strewn in the environment. Some attacks end in acts of violence: players using a chainsaw to slice open an enemy's head; players ripping out a creature's heart; players sticking a gun in someone's mouth and pulling the trigger. A lot more violent and graphic than its predecessors. This is absolutely nothing compared to the previous games, and it's extraordinarily visceral. The violence is also exponentially increased due to the game's insanely detailed and very realistic-looking graphics, which make this game look gorgeous, but it also enhances its graphic nature. This is not for the squeamish and the faint of heart or stomach, only those who are able to handle such levels of violence and brutality. There are lots and lots of","3 uses of ""shit"" 2 are in the Snap mode. In snap mode VEGA says ""holy fucking shit"" and ""oh shit"". BFG stands for ""Big Fucking Gun"" but like the rest of the franchise it's never actually said. On 1 use of 'fuck' in the SnapMap game mode. Some uses of ""hell"" and ""damn"".","Doomguy can do a victory dance pretending to smoke a cigar. Also the word ""cigar"" is shown when picking the victory dance.","The monsters and demons may be frightening for some people. This game is extremely violent and disturbing, but also incredibly gritty. It is much more violent and graphic than its predecessors, with a ton of graphic violence. Also, this game, just like its predecessors, contains violent and scary imagery that could be disturbing for some. The violence can be very disturbing and disgusting for some people, especially the squeamish and the faint of heart. Only for those with a very strong stomach, a strong heart and a nerve of steel. This game is bloodier, gorier, nastier, more disturbing and even more graphically violent than any other game in the ""Doom"" franchise, being only topped by its 2020 sequel ""Doom Eternal"".",647834ee-08e5-4a9a-bf97-bdfbe4fc08e4
203,Australia:MA15+  Brazil:18  France:18  Germany:18  Japan:Z  New Zealand:R13  Singapore:M18  South Korea:18  Taiwan:R-18  United Kingdom:18 (PEGI)  United States:M,The main characters butt is shown through out the game. One scene of male buttocks in a hot spring The male main character's butt is shown in a nonsexual context throughout the game when a player chooses to enter a hot spring. There is no sexual nudity in the game.,"The violence in the game includes violent swordplay. Sword strikes result in blood and infrequent dismemberment. Violence however is highly stylized and intended to contrast with the serenity of the environment. While gore and blood can be turned off in settings, they are both unavoidable because cutscenes are not altered. Cutscenes never contain onscreen dismemberment however(likely intentional) While the game is brutal and certainly deserving of a M rating, the game emphasizes an ""honorable"" form of violence, in which players do not attack until an enemy attacks them. The game even rewards non violence(or honorable) with a better ending.","infrequent mild language such as b*stard, damn, hell, and sh*t is used, but infrequently","Sake (pronounced sah-Kay), a Japanese rice wine, is mentioned throughout the whole game.","strong graphic violence and execution of civilians and soldiers alike could be frightening If this were a movie, it would've been rated R for strong violence throughout, some language, and brief drug use.",52dcbd17-36f7-4caf-bedf-fc9aacca362c
204,United States:M (original rating),None,"Throughout the game you'll participate in fights. Usually you use guns to kill enemies and it will result in blood spatter. They react realistically and depending on the species the color of blood changes. They can also be gibbed, extremely gory. Lots of detailed and gory bodies are scattered around. Much Gore and blood, but it is more scary than disturbing.",Infrequent mild profanities.,In almost every location of the game there are bottles of alcohol and cigarrettes scattered about. Health is Gained via syringes. Drugs used for medical purposes like previous Half-Life games.,"If it where a film it would be rated R for strong bloody violence, disturbing images and gory horror Most disturbing Half-Life game to date due to the updated modern graphics and it being in VR. The environments and enemies are usually very frightening, there are also some infrequent jumpscares with the corpses scattered around the game",5100d66f-7bb0-477b-ac42-44eeac2f1d9b
